"","variable","idx","true","mean","lower","upper","covered","ntips"
"48","R0",82,7.9166505234,7.89871374346363,7.64214196991383,8.13782791088537,TRUE,499
"49","R0",84,6.2777416538,6.28519100331804,6.15287127944454,6.41047008139069,TRUE,499
"50","R0",87,6.9915991253,6.91821543745452,6.76053708018452,7.11498404974672,TRUE,499
"51","R0",89,8.8518875524,8.16751435504137,7.49552839020014,8.75990525538543,FALSE,86
"52","R0",96,8.6954493592,6.81553891584011,4.90045961517194,8.51881146166273,FALSE,9
"53","R0",97,7.1129054419,6.85437201994915,6.70288153676011,6.96033278693652,FALSE,499
"54","R0",98,5.4403424144,5.36419531551705,5.18582394511107,5.49660526464445,TRUE,499
"55","R0",101,4.7294920206,4.74419104731318,4.4659625510428,5.03056846815734,TRUE,132
"56","R0",102,5.8414614666,5.94676980193886,4.04199202114585,7.02825469733324,TRUE,5
"57","R0",104,10.1386262774,9.40193673807305,7.86837646145924,11.4466316787783,TRUE,12
"58","R0",105,10.4299819308,10.2351880121649,9.22212097598178,11.7119942303139,TRUE,42
"59","R0",108,7.3169294329,7.18487665234355,6.93297865016294,7.39160744334182,TRUE,499
"60","R0",111,4.4808955833,4.4663932120295,4.00070447968344,4.77329013003554,TRUE,5
"61","R0",112,7.3441244572,7.43616411851201,7.21194935841104,7.67524343483123,TRUE,499
"62","R0",115,6.3619500273,6.20753346941389,5.3622330491913,7.05340234128178,TRUE,27
"63","R0",119,8.2435151115,8.28866825577939,7.99997852172301,8.59275788053741,TRUE,408
"64","R0",121,4.6529873409,4.86026248638356,4.4781421614997,5.18594477296794,TRUE,88
"65","R0",123,8.7168374144,8.48883911027428,6.37139214914109,10.4145333195555,TRUE,12
"66","R0",124,11.9726007917,8.0484785392354,4.8581800958073,10.8453436130301,FALSE,4
"67","R0",125,4.8467572021,4.64491566370818,4.00171466486292,4.99038026429383,TRUE,9
"68","R0",126,6.2957689941,5.93119722797145,5.2186421404042,6.50771860935016,TRUE,32
"69","R0",130,6.4637749253,6.2854768953578,6.1264262411431,6.44312582153777,FALSE,499
"70","R0",132,5.7857700855,5.76737944460131,5.34800711942296,6.22942109671038,TRUE,75
"71","R0",134,7.4089020794,7.52212978825366,6.9319309873398,8.01775100588807,TRUE,132
"72","R0",137,7.3635244116,7.21341811559442,5.71329830882303,8.66182969157359,TRUE,13
"73","R0",138,6.2031652399,6.23756013426023,6.10132053810481,6.41003837343148,TRUE,499
"74","R0",139,4.909101011,4.789985958729,4.66067248621438,4.90461920513609,FALSE,499
"75","R0",141,5.2023192855,5.25194371292252,4.05428037735985,5.96648567392269,TRUE,9
"76","R0",142,7.7930681835,8.0134424151362,6.96988568010985,9.16020139006459,TRUE,29
"77","R0",143,9.9044342289,9.4068539261873,8.91854886657112,9.89221372847015,FALSE,263
"78","R0",145,11.2124582253,10.7840369735335,10.4155586335733,11.1341268470897,FALSE,499
"79","R0",146,4.7353621234,4.4267852499909,4.06862933210358,4.68728191424663,FALSE,67
"80","R0",147,7.9450511861,7.18177865531307,6.31994789262327,8.18664651194116,TRUE,31
"81","R0",149,8.9041203032,5.95081078803979,4.00017534418279,7.29032505096115,FALSE,2
"82","R0",154,8.3869454575,9.0836405253369,7.81301649487007,10.3999120439093,TRUE,31
"83","R0",155,8.767538002,9.91570302622603,8.96185993136581,10.6963261286336,FALSE,127
"84","R0",156,6.5898024418,6.44322294113743,6.27947341817016,6.55659697356602,FALSE,499
"85","R0",157,5.3475301831,5.22758292284621,5.1319394215914,5.31466830441856,FALSE,499
"86","R0",159,8.449424688,8.49387238678621,8.05685247037148,8.93239672571392,TRUE,247
"87","R0",160,11.3028708815,10.1196072447385,9.04624878778039,11.9618194687391,TRUE,14
"88","R0",161,8.7781804694,9.22833280477409,7.42813430057864,11.340968766342,TRUE,13
"89","R0",162,9.3900879206,9.38873657286337,8.30538539112488,10.4605784365969,TRUE,47
"90","R0",165,9.9548196835,10.1752283000977,9.0956868306226,11.9528545892141,TRUE,17
"91","R0",166,7.0525907354,6.87245943621407,6.74237578319321,7.00071325106786,FALSE,499
"92","R0",167,9.0300530762,8.86408852794439,7.51247594039653,10.0902798668855,TRUE,32
"93","R0",171,8.1661508363,6.34121284145327,4.00874938904698,7.85423120342044,FALSE,3
"94","R0",172,7.6111187407,9.45763245331015,7.97586730130664,11.9914478107869,FALSE,8
"95","R0",173,11.9281958173,10.9735816783478,10.3145814485028,11.9994216389314,TRUE,19
"96","R0",178,5.1461859965,5.45068086875597,4.52738599888796,6.42127537213274,TRUE,15
"97","R0",181,6.4910703918,6.1948337007775,4.00975831997784,7.28831515021152,TRUE,7
"98","R0",185,4.1892355494,4.11835814209612,4.00030310387836,4.17833893987634,FALSE,212
"99","R0",188,8.6432874327,8.39374002448265,8.19187396593546,8.57282588639743,FALSE,499
"100","R0",189,4.4131521687,4.27311654199447,4.00083944038468,4.43003484466716,TRUE,31
"101","R0",190,7.1372993256,6.89769474443911,6.70225934667583,7.12167519650636,FALSE,499
"102","R0",191,4.0021403527,4.63089937711444,4.0005686852294,4.98093678665352,TRUE,2
"103","R0",192,4.923151604,4.80832716233351,4.02959715225962,5.32609601278,TRUE,11
"104","R0",194,8.5245520447,8.48760984893004,8.29528176931755,8.72766613727284,TRUE,499
"105","R0",195,10.3474930134,10.227576817744,10.0225521714196,10.5153730644298,TRUE,499
"106","R0",199,11.1015896674,10.2079003153659,9.32592429868211,11.859892340684,TRUE,31
"107","R0",200,9.7074373895,9.25347965179596,8.17897542636675,10.2449798288786,TRUE,54
